UF,MUNICIPIO,ESTABELECIMENTO,LOGRADOURO,NUMERO,BAIRRO,ENDERECO_COMPLETO,latitude,longitude,address,point
DF,BRASILIA,UBS 1 SOBRADINHO II,AR 13 AREA ESPECIAL CONJUNTO 7 LOTE,1,SOBRADINHO II,"AR 13 AREA ESPECIAL CONJUNTO 7 LOTE, SOBRADINHO II, BRASILIA, DF, BRASIL",-15.64645,-47.82356,"Quadra Ar 13 Conjunto 7, Sobradinho II, Sobradinho - DF, 73062-307, Brasil","15 38m 47.22s S, 47 49m 24.816s W"
DF,BRASILIA,UBS 07 RECANTO DAS EMAS CASA GRANDE,EMA 33 NUCLEO RURAL CASA GRANDE E MONJOLO,S/N,RECANTO DAS EMAS,"EMA 33 NUCLEO RURAL CASA GRANDE E MONJOLO, RECANTO DAS EMAS, BRASILIA, DF, BRASIL",-15.927610000000001,-48.07343,"Estrada Rural Monjolo, Recanto das Emas - DF, Brasil","15 55m 39.396s S, 48 4m 24.348s W"
DF,BRASILIA,UBS 11 PONTE ALTA NORTE GAMA,DF 457,457,GAMA,"DF 457, GAMA, BRASILIA, DF, BRASIL",-16.0411877,-48.0570665,"DF-290, Gama, Região Geográfica Imediata do Distrito Federal, Região Integrada de Desenvolvimento do Distrito Federal e Entorno, Região Geográfica Intermediária do Distrito Federal, Distrito Federal, Região Centro-Oeste, 72415-000, Brasil","16 2m 28.2757s S, 48 3m 25.4394s W"
DF,BRASILIA,UBS 6 SAO FRANCISCO SAO SEBASTIAO,QD 5 CASA 1 BAIRRO SAO FRANCISCO SAO SEBASTIAO DF,1,SAO FRANCISCO,"QD 5 CASA 1 BAIRRO SAO FRANCISCO SAO SEBASTIAO DF, SAO FRANCISCO, BRASILIA, DF, BRASIL",-23.751070000000002,-45.41196,"São Francisco, São Sebastião, SP, Brasil","23 45m 3.852s S, 45 24m 43.056s W"
DF,BRASILIA,UBS 3 RESIDENCIAL OESTE SAO SEBASTIAO,QD 301 CJ 06 LT,1,RESIDENCIAL OESTE,"QD 301 CJ 06 LT, RESIDENCIAL OESTE, BRASILIA, DF, BRASIL",-15.9077,-47.77632,"Quadra 301 Conjunto 4 Residencial Oeste, 73340, Brasília","15 54m 27.72s S, 47 46m 34.752s W"
DF,BRASILIA,UBS 2 QUADRA 18 PARANOA,POSTO DE SAUDE URBANO QUADRA 18 AE,18,PARANOA,"POSTO DE SAUDE URBANO QUADRA 18 AE, PARANOA, BRASILIA, DF, BRASIL",-15.76074,-47.78027,"Paranoá, DF, Brasil","15 45m 38.664s S, 47 46m 48.972s W"
DF,BRASILIA,UBS 13 SAMAMBAIA,QUADRA 615 AREA ESPECIAL 01 SAMAMBAIA NORTE,1,SAMAMBAIA NORTE,"QUADRA 615 AREA ESPECIAL 01 SAMAMBAIA NORTE, SAMAMBAIA NORTE, BRASILIA, DF, BRASIL",-15.86464,-48.079809999999995,"Avenida Norte, 1, Samambaia - DF, Brasil","15 51m 52.704s S, 48 4m 47.316s W"
DF,BRASILIA,UBS 10 SAMAMBAIA,QR 501 CONJUNTO 07 LOTE,2,SAMAMBAIA SUL,"QR 501 CONJUNTO 07 LOTE, SAMAMBAIA SUL, BRASILIA, DF, BRASIL",-15.88625,-48.08895,"Quadra Qr 501 Conjunto 7, Samambaia - DF, 72311-307, Brasil","15 53m 10.5s S, 48 5m 20.22s W"
DF,BRASILIA,UBS 7 MORRO DA CRUZ SAO SEBASTIAO,CHACARA,10,MORRO DA CRUZ,"CHACARA, MORRO DA CRUZ, BRASILIA, DF, BRASIL",-15.9272744,-47.757190200000004,"Edf Chacara 62 Conjunto 12, Nucleo rural Morro da Cruz, São Sebastião, Região Geográfica Imediata do Distrito Federal, Região Integrada de Desenvolvimento do Distrito Federal e Entorno, Região Geográfica Intermediária do Distrito Federal, Distrito Federal, Região Centro-Oeste, 71693-305, Brasil","15 55m 38.1878s S, 47 45m 25.8847s W"
DF,BRASILIA,UBS 9 RESIDENCIAL DO BOSQUE 1 SAO SEBASTIAO,RUA DA ESCOLA 540 SAO SEBASTIAO,540,VILA NOVA,"RUA DA ESCOLA 540 SAO SEBASTIAO, VILA NOVA, BRASILIA, DF, BRASIL",-15.9046859,-47.755559000000005,"Rua da Escola, Vila Nova, São Sebastião, Região Geográfica Imediata do Distrito Federal, Região Integrada de Desenvolvimento do Distrito Federal e Entorno, Região Geográfica Intermediária do Distrito Federal, Distrito Federal, Região Centro-Oeste, 71691-085, Brasil","15 54m 16.8692s S, 47 45m 20.0124s W"
