UF,MUNICIPIO,ESTABELECIMENTO,LOGRADOURO,NUMERO,BAIRRO,ENDERECO_COMPLETO,latitude,longitude,address,point
RJ,PETROPOLIS,POSTO DE SAUDE BOA ESPERANCA,ESTRADA MINISTRO SALGADO FILHO,S/N,BOA ESPERANCA,"ESTRADA MINISTRO SALGADO FILHO, BOA ESPERANCA, PETROPOLIS, RJ, BRASIL",-5.92571,-35.26126,"Rua Ministro Salgado Filho, 59140-355, Parnamirim","5 55m 32.556s S, 35 15m 40.536s W"
RJ,PETROPOLIS,POSTO DE SAUDE BOA VISTA,RUA HENRIQUE JOAO DA CRUZ,300,BOA VISTA,"RUA HENRIQUE JOAO DA CRUZ, BOA VISTA, PETROPOLIS, RJ, BRASIL",-22.47725,-43.15624,"Rua Henrique João da Cruz, 25716-240, Petrópolis","22 28m 38.1s S, 43 9m 22.464s W"
RJ,PETROPOLIS,POSTO DE SAUDE NOVA CASCATINHA,RUA HIVIO NALIATO,951,SAMAMBAIA,"RUA HIVIO NALIATO, SAMAMBAIA, PETROPOLIS, RJ, BRASIL",-22.47569,-43.15109,"Rua Hívio Naliato, Petrópolis","22 28m 32.484s S, 43 9m 3.924s W"
RJ,PETROPOLIS,UBS DR JOAO WERNECK DE CARVALHO,RUA MOSELA,744,MOSELA,"RUA MOSELA, MOSELA, PETROPOLIS, RJ, BRASIL",-22.4936472,-43.201727000000005,"Rua Mosela, Mosela, Petrópolis, Região Geográfica Imediata de Petrópolis, Região Metropolitana do Rio de Janeiro, Região Geográfica Intermediária de Petrópolis, Rio de Janeiro, Região Sudeste, 25675-130, Brasil","22 29m 37.1299s S, 43 12m 6.2172s W"
RJ,PETROPOLIS,POSTO DE SAUDE VILA FELIPE,RUA HERMINIO SCHMIDIT,S/N,VILA FELIPE,"RUA HERMINIO SCHMIDIT, VILA FELIPE, PETROPOLIS, RJ, BRASIL",-22.51478,-43.22289,"Rua João Felipe Schmidt, 25665-520, Petrópolis","22 30m 53.208s S, 43 13m 22.404s W"
RJ,PETROPOLIS,POSTO DE SAUDE SECRETARIO,RUA VISCONDE DE SAO BERNARDES,320,SECRETARIO,"RUA VISCONDE DE SAO BERNARDES, SECRETARIO, PETROPOLIS, RJ, BRASIL",-22.32734,-43.18082,"Rua Visconde de São Bernardo, 25755-400, Petrópolis","22 19m 38.424s S, 43 10m 50.952s W"
RJ,PETROPOLIS,POSTO DE SAUDE JARDIM SALVADOR,RUA JUIZ CASTRO E SILVA,33,JARDIM SALVADOR,"RUA JUIZ CASTRO E SILVA, JARDIM SALVADOR, PETROPOLIS, RJ, BRASIL",-22.4656,-43.15244,"Rua Juiz Castro e Silva, 25720-002, Petrópolis","22 27m 56.16s S, 43 9m 8.784s W"
RJ,PETROPOLIS,PROGRAMA DE SAUDE BUCAL,RUA SANTOS DUMONT,100,CENTRO,"RUA SANTOS DUMONT, CENTRO, PETROPOLIS, RJ, BRASIL",-22.512106,-43.1669381,"Rua Santos Dumont, Centro, Petrópolis, Região Geográfica Imediata de Petrópolis, Região Metropolitana do Rio de Janeiro, Região Geográfica Intermediária de Petrópolis, Rio de Janeiro, Região Sudeste, 25625-070, Brasil","22 30m 43.5816s S, 43 10m 0.97716s W"
RJ,PETROPOLIS,POSTO DE SAUDE FAZENDA INGLESA,ESTRADA DA FAZENDA INGLESA,S/N,FAZENDA INGLESA,"ESTRADA DA FAZENDA INGLESA, FAZENDA INGLESA, PETROPOLIS, RJ, BRASIL",-22.4645608,-43.2296495,"Estrada do Rocio, Fazenda Inglesa, Cascatinha, Petrópolis, Região Geográfica Imediata de Petrópolis, Região Metropolitana do Rio de Janeiro, Região Geográfica Intermediária de Petrópolis, Rio de Janeiro, Região Sudeste, 25725-560, Brasil","22 27m 52.4189s S, 43 13m 46.7382s W"
RJ,PETROPOLIS,POSTO DE SAUDE DR LATUF GIBRAIL NETO,AVENIDA BARAO DO RIO BRANCO,S/N,RETIRO,"AVENIDA BARAO DO RIO BRANCO, RETIRO, PETROPOLIS, RJ, BRASIL",-22.4799372,-43.1730888,"Avenida Barão do Rio Branco, Retiro, Petrópolis, Região Geográfica Imediata de Petrópolis, Região Metropolitana do Rio de Janeiro, Região Geográfica Intermediária de Petrópolis, Rio de Janeiro, Região Sudeste, 25680-276, Brasil","22 28m 47.7739s S, 43 10m 23.1197s W"
